x,y,z,convected,diffused
2,0,-1.8875,0.82032,1.8315
1.9727,0.32919,-1.8875,0.82033,1.8315
2.0928,0.34922,-1.8875,0.8229,1.8337
2.1215,-4.18E-07,-1.8875,0.82289,1.8337
2,0,-2.125,0.93583,1.9428
1.9727,0.32919,-2.125,0.93586,1.9428
2.0928,0.34922,-2.125,0.91841,1.9268
2.1215,-4.18E-07,-2.125,0.91842,1.9268
2.2193,0.37034,-1.8875,0.82251,1.8333
2.25,0,-1.8875,0.8225,1.8333
2.2193,0.37034,-2.125,0.9145,1.9232
2.25,0,-2.125,0.91449,1.9231
1.8916,0.6494,-1.8875,0.82034,1.8315
2.0066,0.68886,-1.8875,0.82291,1.8337
1.8916,0.6494,-2.125,0.93587,1.9428
2.0066,0.68886,-2.125,0.91843,1.9268
2.1281,0.73057,-1.8875,0.82252,1.8333
2.1281,0.73057,-2.125,0.9145,1.9232
1.7589,0.95189,-1.8875,0.82033,1.8315
1.8658,1.0097,-1.8875,0.82291,1.8337
1.7589,0.95189,-2.125,0.93594,1.9429
1.8658,1.0097,-2.125,0.91845,1.9268
1.9788,1.0709,-1.8875,0.82252,1.8333
1.9788,1.0709,-2.125,0.91451,1.9232
1.5783,1.2284,-1.8875,0.82033,1.8315
1.6742,1.3031,-1.8875,0.8229,1.8337
1.5783,1.2284,-2.125,0.93587,1.9428
1.6742,1.3031,-2.125,0.91843,1.9268
1.7756,1.382,-1.8875,0.82252,1.8333
1.7756,1.382,-2.125,0.9145,1.9232
1.3546,1.4714,-1.8875,0.82033,1.8315
1.4369,1.5609,-1.8875,0.82289,1.8337
1.3546,1.4714,-2.125,0.93584,1.9428
1.4369,1.5609,-2.125,0.91842,1.9268
1.5239,1.6554,-1.8875,0.82251,1.8333
1.5239,1.6554,-2.125,0.91449,1.9231
1.0939,1.6743,-1.8875,0.82032,1.8315
1.1604,1.7761,-1.8875,0.82289,1.8337
1.0939,1.6743,-2.125,0.93583,1.9428
1.1604,1.7761,-2.125,0.91842,1.9268
1.2306,1.8836,-1.8875,0.8225,1.8333
1.2306,1.8836,-2.125,0.91449,1.9231
0.80339,1.8315,-1.8875,0.82032,1.8315
0.8522,1.9428,-1.8875,0.82288,1.8337
0.80339,1.8315,-2.125,0.93582,1.9428
0.8522,1.9428,-2.125,0.91841,1.9268
0.90381,2.0605,-1.8875,0.8225,1.8333
0.90381,2.0605,-2.125,0.91448,1.9231
0.49097,1.9388,-1.8875,0.82032,1.8315
0.5208,2.0566,-1.8875,0.82288,1.8337
0.49097,1.9388,-2.125,0.93582,1.9428
0.5208,2.0566,-2.125,0.91841,1.9268
0.55234,2.1812,-1.8875,0.8225,1.8333
0.55234,2.1812,-2.125,0.91448,1.9231
0.16516,1.9932,-1.8875,0.82032,1.8315
0.17519,2.1143,-1.8875,0.82288,1.8337
0.16516,1.9932,-2.125,0.93582,1.9428
0.17519,2.1143,-2.125,0.91841,1.9268
0.1858,2.2423,-1.8875,0.8225,1.8333
0.1858,2.2423,-2.125,0.91448,1.9231
-0.16516,1.9932,-1.8875,0.82032,1.8315
-0.17519,2.1143,-1.8875,0.82288,1.8337
-0.16516,1.9932,-2.125,0.93582,1.9428
-0.17519,2.1143,-2.125,0.91841,1.9268
-0.1858,2.2423,-1.8875,0.8225,1.8333
-0.1858,2.2423,-2.125,0.91448,1.9231
-0.49097,1.9388,-1.8875,0.82032,1.8315
-0.5208,2.0566,-1.8875,0.82288,1.8337
-0.49097,1.9388,-2.125,0.93583,1.9428
-0.5208,2.0566,-2.125,0.91841,1.9268
-0.55234,2.1812,-1.8875,0.8225,1.8333
-0.55234,2.1812,-2.125,0.91448,1.9231
-0.80339,1.8315,-1.8875,0.82032,1.8315
-0.8522,1.9428,-1.8875,0.82288,1.8337
-0.80339,1.8315,-2.125,0.93583,1.9428
-0.8522,1.9428,-2.125,0.91841,1.9268
-0.90381,2.0605,-1.8875,0.8225,1.8333
-0.90381,2.0605,-2.125,0.91448,1.9231
-1.0939,1.6743,-1.8875,0.82031,1.8315
