x,y,z,u,v
2.0,0.0,-1.8875,1.8570387,0.841657
1.9727,0.32919,-1.8875,1.8544596,0.83960235
2.0928,0.34922,-1.8875,1.8312719,0.82048655
2.1215,-4.1784e-07,-1.8875,1.8359597,0.8242439
2.0,0.0,-2.125,1.9406695,0.928832
1.9727,0.32919,-2.125,1.9398072,0.9282897
2.0928,0.34922,-2.125,1.9232218,0.91367686
2.1215,-4.1784e-07,-2.125,1.9252532,0.9152308
2.2193,0.37034,-1.8875,1.8078214,0.8013962
2.25,0.0,-1.8875,1.8148177,0.80700004
2.2193,0.37034,-2.125,1.904666,0.8976075
2.25,0.0,-2.125,1.9082708,0.9005092
1.8916,0.6494,-1.8875,1.8538474,0.8398245
2.0066,0.68886,-1.8875,1.8298244,0.8200346
1.8916,0.6494,-2.125,1.939589,0.9290154
2.0066,0.68886,-2.125,1.9229147,0.9143427
2.1281,0.73057,-1.8875,1.8051823,0.7999721
2.1281,0.73057,-2.125,1.9039761,0.8979403
1.7589,0.95189,-1.8875,1.8588593,0.8450812
1.8658,1.0097,-1.8875,1.8366221,0.8266621
1.7589,0.95189,-2.125,1.941487,0.93203115
1.8658,1.0097,-2.125,1.9265107,0.9188111
1.9788,1.0709,-1.8875,1.8138187,0.8079446
1.9788,1.0709,-2.125,1.9096692,0.9041268
1.5783,1.2284,-1.8875,1.8657036,0.852201
1.6742,1.3031,-1.8875,1.8466252,0.83629596
1.5783,1.2284,-2.125,1.9433228,0.9352427
1.6742,1.3031,-2.125,1.9305325,0.92394066
1.7756,1.382,-1.8875,1.8274695,0.82040435
1.7756,1.382,-2.125,1.9166334,0.9117477
1.3546,1.4714,-1.8875,1.8684309,0.85614425
1.4369,1.5609,-1.8875,1.8513507,0.8419382
1.3546,1.4714,-2.125,1.9427847,0.9363555
1.4369,1.5609,-2.125,1.9310434,0.92607117
1.5239,1.6554,-1.8875,1.8345951,0.828038
1.5239,1.6554,-2.125,1.9186556,0.9152693
1.0939,1.6743,-1.8875,1.865419,0.8552138
1.1604,1.7761,-1.8875,1.8482566,0.8410853
1.0939,1.6743,-2.125,1.939997,0.93513054
1.1604,1.7761,-2.125,1.927858,0.9246339
1.2306,1.8836,-1.8875,1.8314984,0.82733434
1.2306,1.8836,-2.125,1.9151075,0.91366106
0.80339,1.8315,-1.8875,1.8595376,0.8514505
0.8522,1.9428,-1.8875,1.8409743,0.83629894
0.80339,1.8315,-2.125,1.9369311,0.933075
0.8522,1.9428,-2.125,1.9235703,0.92160296
0.90381,2.0605,-1.8875,1.8227186,0.82145923
0.90381,2.0605,-2.125,1.9093591,0.90946925
0.49097,1.9388,-1.8875,1.8553088,0.8484731
0.5208,2.0566,-1.8875,1.8352458,0.83213425
0.49097,1.9388,-2.125,1.9359984,0.93231213
0.5208,2.0566,-2.125,1.9214816,0.91983646
0.55234,2.1812,-1.8875,1.8154435,0.8160693
0.55234,2.1812,-2.125,1.9058367,0.906472
0.16516,1.9932,-1.8875,1.8562979,0.84935004
0.17519,2.1143,-1.8875,1.8356427,0.8324681
0.16516,1.9932,-2.125,1.9387264,0.9344166
0.17519,2.1143,-2.125,1.923928,0.9216082
0.1858,2.2423,-1.8875,1.8152671,0.81586313
0.1858,2.2423,-2.125,1.9078398,0.9077664
-0.16516,1.9932,-1.8875,1.8628917,0.85473895
-0.17519,2.1143,-1.8875,1.8428917,0.8382855
-0.16516,1.9932,-2.125,1.9444932,0.93925387
-0.17519,2.1143,-2.125,1.9305075,0.9270359
-0.1858,2.2423,-1.8875,1.8232036,0.82211643
-0.1858,2.2423,-2.125,1.9152536,0.91377914
-0.49097,1.9388,-1.8875,1.8717647,0.8622566
-0.5208,2.0566,-1.8875,1.853112,0.84685284
-0.49097,1.9388,-2.125,1.950639,0.94484055
-0.5208,2.0566,-2.125,1.9379338,0.93370265
-0.55234,2.1812,-1.8875,1.8348197,0.8317581
-0.55234,2.1812,-2.125,1.9241017,0.9216272
-0.80339,1.8315,-1.8875,1.8781713,0.8679864
-0.8522,1.9428,-1.8875,1.8604558,0.85340637
-0.80339,1.8315,-2.125,1.954427,0.94870716
-0.8522,1.9428,-2.125,1.9425361,0.93836606
-0.90381,2.0605,-1.8875,1.8431253,0.8391611
-0.90381,2.0605,-2.125,1.9296179,0.92717856
-1.0939,1.6743,-1.8875,1.8790443,0.86892736
-1.1604,1.7761,-1.8875,1.8610187,0.85418826
-1.0939,1.6743,-2.125,1.9547104,0.9493284
-1.1604,1.7761,-2.125,1.9426346,0.9389471
-1.2306,1.8836,-1.8875,1.8432913,0.8397322
-1.2306,1.8836,-2.125,1.9294621,0.92768186
-1.3546,1.4714,-1.8875,1.8741997,0.864403
-1.4369,1.5609,-1.8875,1.8544888,0.8483146
-1.3546,1.4714,-2.125,1.9518703,0.9464665
-1.4369,1.5609,-2.125,1.9385712,0.93506163
-1.5239,1.6554,-1.8875,1.8347912,0.8322974
-1.5239,1.6554,-2.125,1.9238425,0.9225086
-1.5783,1.2284,-1.8875,1.8661933,0.8563939
-1.6742,1.3031,-1.8875,1.8441044,0.8383035
-1.5783,1.2284,-2.125,1.947252,0.94108826
-1.6742,1.3031,-2.125,1.9320688,0.9279706
-1.7756,1.382,-1.8875,1.8216923,0.8200374
-1.7756,1.382,-2.125,1.9149516,0.9132984
-1.7589,0.95189,-1.8875,1.8594277,0.8488577
-1.8658,1.0097,-1.8875,1.8356695,0.82929647
-1.7589,0.95189,-2.125,1.9429581,0.93530416
-1.8658,1.0097,-2.125,1.9261811,0.9206524
-1.9788,1.0709,-1.8875,1.8114008,0.80944246
-1.9788,1.0709,-2.125,1.9070861,0.9041515
-1.8916,0.6494,-1.8875,1.8571105,0.8449873
-2.0066,0.68886,-1.8875,1.8334556,0.82538533
-1.8916,0.6494,-2.125,1.9407547,0.93124646
-2.0066,0.68886,-2.125,1.9236519,0.91614777
-2.1281,0.73057,-1.8875,1.8093606,0.80556977
-2.1281,0.73057,-2.125,1.9043,0.8992773
-1.9727,0.32919,-1.8875,1.8582002,0.84446865
-2.0926,0.34919,-1.8875,1.8361859,0.8261044
-1.9727,0.32919,-2.125,1.9402773,0.9292267
-2.0926,0.34919,-2.125,1.9240743,0.9147944
-2.2193,0.37034,-1.8875,1.8140155,0.80774707
-2.2193,0.37034,-2.125,1.9060979,0.89898777
-2.0,2.2044e-16,-1.8875,1.8584814,0.8441941
-2.1215,-4.703e-07,-1.8875,1.838235,0.8272678
-2.0,2.4493e-16,-2.125,1.939282,0.9277076
-2.1215,-4.703e-07,-2.125,1.9240777,0.9141497
-2.25,-2.4799e-16,-1.8875,1.8182362,0.81064796
-2.25,-2.7555e-16,-2.125,1.9076612,0.8996776
-1.9727,-0.32919,-1.8875,1.8557544,0.8423686
-2.0926,-0.34919,-1.8875,1.8362911,0.8262041
-1.9727,-0.32919,-2.125,1.936684,0.92577827
-2.0926,-0.34919,-2.125,1.9217664,0.9126138
-2.2193,-0.37034,-1.8875,1.817404,0.8105963
-2.2193,-0.37034,-2.125,1.9059925,0.8988374
-1.8916,-0.6494,-1.8875,1.8531756,0.8411965
-2.0066,-0.68886,-1.8875,1.8340647,0.82549113
-1.8916,-0.6494,-2.125,1.9345608,0.9248717
-2.0066,-0.68886,-2.125,1.9198246,0.9120479
-2.1281,-0.73057,-1.8875,1.8156403,0.81042945
-2.1281,-0.73057,-2.125,1.9043581,0.8987289
-1.7589,-0.95189,-1.8875,1.855543,0.84406996
-1.8658,-1.0097,-1.8875,1.8376782,0.8294693
-1.7589,-0.95189,-2.125,1.9357464,0.92694706
-1.8658,-1.0097,-2.125,1.9222109,0.9152458
-1.9788,-1.0709,-1.8875,1.8204719,0.8154889
-1.9788,-1.0709,-2.125,1.9080789,0.9031587
-1.5783,-1.2284,-1.8875,1.862417,0.85035944
-1.6742,-1.3031,-1.8875,1.8468101,0.8375769
-1.5783,-1.2284,-2.125,1.9396377,0.9312417
-1.6742,-1.3031,-2.125,1.928174,0.92129683
-1.7756,-1.382,-1.8875,1.8318489,0.825399
-1.7756,-1.382,-2.125,1.9163605,0.9111592
-1.3546,-1.4714,-1.8875,1.8681601,0.8554625
-1.4369,-1.5609,-1.8875,1.854548,0.84423274
-1.3546,-1.4714,-2.125,1.9428475,0.93482935
-1.4369,-1.5609,-2.125,1.9331098,0.9262915
-1.5239,-1.6554,-1.8875,1.841588,0.8336112
-1.5239,-1.6554,-2.125,1.9232115,0.9177099
-1.0939,-1.6743,-1.8875,1.8681741,0.8556107
-1.1604,-1.7761,-1.8875,1.8552158,0.84480184
-1.0939,-1.6743,-2.125,1.943105,0.93573034
-1.1604,-1.7761,-2.125,1.934001,0.9276211
-1.2306,-1.8836,-1.8875,1.842875,0.8345679
-1.2306,-1.8836,-2.125,1.9247615,0.9194773
-0.80339,-1.8315,-1.8875,1.8624412,0.8507624
-0.8522,-1.9428,-1.8875,1.8488809,0.83927625
-0.80339,-1.8315,-2.125,1.9406333,0.93407756
-0.8522,-1.9428,-2.125,1.9312216,0.9255196
-0.90381,-2.0605,-1.8875,1.8358419,0.82825863
-0.90381,-2.0605,-2.125,1.9215441,0.9167835
-0.49097,-1.9388,-1.8875,1.8543391,0.8438044
-0.5208,-2.0566,-1.8875,1.8397845,0.8312506
