x,y,z,t,V,T
0.0,2e-05,1e-05,0.0,0.48571983,317.12195
0.0,2e-05,1e-05,0.1,0.4614958,389.71304
0.0,2e-05,1e-05,0.2,0.46150383,389.73523
0.0,2e-05,1e-05,0.3,0.46150705,389.73376
0.0,2e-05,1e-05,0.4,0.46150845,389.73315
0.0,2e-05,1e-05,0.5,0.4615088,389.73288
0.0,2e-05,1e-05,0.6,0.46150914,389.73282
0.0,2e-05,1e-05,0.7,0.46150932,389.73267
0.0,2e-05,1e-05,0.8,0.4615094,389.73267
0.0,2e-05,1e-05,0.9,0.4615094,389.73267
0.0,2e-05,1e-05,1.0,0.46150947,389.73267
0.0,2e-05,0.0,0.0,0.48572552,317.11462
0.0,2e-05,0.0,0.1,0.4614958,389.71304
0.0,2e-05,0.0,0.2,0.46150383,389.73523
0.0,2e-05,0.0,0.3,0.46150705,389.73376
0.0,2e-05,0.0,0.4,0.46150845,389.73315
0.0,2e-05,0.0,0.5,0.4615088,389.73288
0.0,2e-05,0.0,0.6,0.46150914,389.73282
0.0,2e-05,0.0,0.7,0.46150932,389.73267
0.0,2e-05,0.0,0.8,0.4615094,389.73267
0.0,2e-05,0.0,0.9,0.4615094,389.73267
0.0,2e-05,0.0,1.0,0.46150947,389.73267
1.28e-05,1.38e-05,1e-05,0.0,0.48572165,317.12003
1.28e-05,1.38e-05,1e-05,0.1,0.4614958,389.71304
1.28e-05,1.38e-05,1e-05,0.2,0.46150383,389.73523
1.28e-05,1.38e-05,1e-05,0.3,0.46150705,389.73376
1.28e-05,1.38e-05,1e-05,0.4,0.46150845,389.73315
1.28e-05,1.38e-05,1e-05,0.5,0.4615088,389.73288
1.28e-05,1.38e-05,1e-05,0.6,0.46150914,389.73282
1.28e-05,1.38e-05,1e-05,0.7,0.46150932,389.73267
1.28e-05,1.38e-05,1e-05,0.8,0.4615094,389.73267
1.28e-05,1.38e-05,1e-05,0.9,0.4615094,389.73267
1.28e-05,1.38e-05,1e-05,1.0,0.46150947,389.73267
0.0,0.0,0.0,0.0,0.48573014,317.10895
0.0,0.0,0.0,0.1,0.46149576,389.71304
0.0,0.0,0.0,0.2,0.46150383,389.73523
0.0,0.0,0.0,0.3,0.46150705,389.73376
0.0,0.0,0.0,0.4,0.46150845,389.73315
0.0,0.0,0.0,0.5,0.4615088,389.73288
0.0,0.0,0.0,0.6,0.46150914,389.73282
0.0,0.0,0.0,0.7,0.46150932,389.73267
0.0,0.0,0.0,0.8,0.4615094,389.73267
0.0,0.0,0.0,0.9,0.4615094,389.73267
0.0,0.0,0.0,1.0,0.46150947,389.73267
1.28e-05,1.38e-05,0.0,0.0,0.48572725,317.11273
1.28e-05,1.38e-05,0.0,0.1,0.4614958,389.71304
1.28e-05,1.38e-05,0.0,0.2,0.46150383,389.73523
1.28e-05,1.38e-05,0.0,0.3,0.46150705,389.73376
1.28e-05,1.38e-05,0.0,0.4,0.46150845,389.73315
1.28e-05,1.38e-05,0.0,0.5,0.4615088,389.73288
1.28e-05,1.38e-05,0.0,0.6,0.46150914,389.73282
1.28e-05,1.38e-05,0.0,0.7,0.46150932,389.73267
1.28e-05,1.38e-05,0.0,0.8,0.4615094,389.73267
1.28e-05,1.38e-05,0.0,0.9,0.4615094,389.73267
1.28e-05,1.38e-05,0.0,1.0,0.46150947,389.73267
0.0,0.0,1e-05,0.0,0.4857245,317.11615
0.0,0.0,1e-05,0.1,0.4614958,389.71304
0.0,0.0,1e-05,0.2,0.46150383,389.73523
0.0,0.0,1e-05,0.3,0.46150705,389.73376
