X,Y,Z,t,V,T
0.0,2e-05,1e-05,0.0,1.0,300.0039998
0.0,2e-05,1e-05,0.1,1.0,422.5518941
0.0,2e-05,1e-05,0.2,1.0,461.8139417
0.0,2e-05,1e-05,0.3,1.0,472.9762857
0.0,2e-05,1e-05,0.4,1.0,477.4145781
0.0,2e-05,1e-05,0.5,1.0,479.3036757
0.0,2e-05,1e-05,0.6,1.0,479.9136583
0.0,2e-05,1e-05,0.7,1.0,480.0226279
0.0,2e-05,1e-05,0.8,1.0,480.0176718
0.0,2e-05,1e-05,0.9,1.0,480.0266629
0.0,2e-05,1e-05,1.0,1.0,480.0309239
0.0,2e-05,0.0,0.0,1.0,300.0039998
0.0,2e-05,0.0,0.1,1.0,422.5519016
0.0,2e-05,0.0,0.2,1.0,461.8139517
0.0,2e-05,0.0,0.3,1.0,472.9762964
0.0,2e-05,0.0,0.4,1.0,477.414589
0.0,2e-05,0.0,0.5,1.0,479.3036868
0.0,2e-05,0.0,0.6,1.0,479.9136694
0.0,2e-05,0.0,0.7,1.0,480.0226391
0.0,2e-05,0.0,0.8,1.0,480.0176829
0.0,2e-05,0.0,0.9,1.0,480.0266741
0.0,2e-05,0.0,1.0,1.0,480.030935
1.28e-05,1.38e-05,1e-05,0.0,0.987159103,300.0039999
1.28e-05,1.38e-05,1e-05,0.1,0.987159103,422.557143
1.28e-05,1.38e-05,1e-05,0.2,0.987159103,461.8208761
1.28e-05,1.38e-05,1e-05,0.3,0.987159103,472.9836993
1.28e-05,1.38e-05,1e-05,0.4,0.987159103,477.4221822
1.28e-05,1.38e-05,1e-05,0.5,0.987159103,479.311361
1.28e-05,1.38e-05,1e-05,0.6,0.987159103,479.9213698
1.28e-05,1.38e-05,1e-05,0.7,0.987159103,480.0303441
1.28e-05,1.38e-05,1e-05,0.8,0.987159103,480.0253877
1.28e-05,1.38e-05,1e-05,0.9,0.987159103,480.0343793
1.28e-05,1.38e-05,1e-05,1.0,0.987159103,480.0386404
0.0,0.0,0.0,0.0,1.0,300.0039998
0.0,0.0,0.0,0.1,1.0,422.5420927
0.0,0.0,0.0,0.2,1.0,461.8009996
0.0,0.0,0.0,0.3,1.0,472.9624506
0.0,0.0,0.0,0.4,1.0,477.400388
0.0,0.0,0.0,0.5,1.0,479.2893345
0.0,0.0,0.0,0.6,1.0,479.8992683
0.0,0.0,0.0,0.7,1.0,480.0082292
0.0,0.0,0.0,0.8,1.0,480.0032734
0.0,0.0,0.0,0.9,1.0,480.0122639
0.0,0.0,0.0,1.0,1.0,480.0165245
1.28e-05,1.38e-05,0.0,0.0,0.987152761,300.0039999
1.28e-05,1.38e-05,0.0,0.1,0.987152761,422.5571455
1.28e-05,1.38e-05,0.0,0.2,0.987152761,461.8208794
1.28e-05,1.38e-05,0.0,0.3,0.987152761,472.9837028
1.28e-05,1.38e-05,0.0,0.4,0.987152761,477.4221858
1.28e-05,1.38e-05,0.0,0.5,0.987152761,479.3113646
1.28e-05,1.38e-05,0.0,0.6,0.987152761,479.9213734
1.28e-05,1.38e-05,0.0,0.7,0.987152761,480.0303477
1.28e-05,1.38e-05,0.0,0.8,0.987152761,480.0253913
1.28e-05,1.38e-05,0.0,0.9,0.987152761,480.0343829
1.28e-05,1.38e-05,0.0,1.0,0.987152761,480.038644
0.0,0.0,1e-05,0.0,1.0,300.0039998
0.0,0.0,1e-05,0.1,1.0,422.5420927
0.0,0.0,1e-05,0.2,1.0,461.8009996
0.0,0.0,1e-05,0.3,1.0,472.9624507
0.0,0.0,1e-05,0.4,1.0,477.400388
0.0,0.0,1e-05,0.5,1.0,479.2893345
0.0,0.0,1e-05,0.6,1.0,479.8992684
0.0,0.0,1e-05,0.7,1.0,480.0082293
0.0,0.0,1e-05,0.8,1.0,480.0032735
0.0,0.0,1e-05,0.9,1.0,480.012264
0.0,0.0,1e-05,1.0,1.0,480.0165246
2e-05,0.0,1e-05,0.0,0.98,300.0039998
2e-05,0.0,1e-05,0.1,0.98,422.5540706
2e-05,0.0,1e-05,0.2,0.98,461.8168249
2e-05,0.0,1e-05,0.3,0.98,472.9793698
