x,t
0.0,0.0
0.005,0.0
0.01,0.0
0.05,0.0
0.1,0.0
0.2,0.0
0.5,0.0
0.7,0.0
0.9,0.0
0.95,0.0
0.99,0.0
0.995,0.0
1.0,0.0
0.0,0.005
0.005,0.005
0.01,0.005
0.05,0.005
0.1,0.005
0.2,0.005
0.5,0.005
0.7,0.005
0.9,0.005
0.95,0.005
0.99,0.005
0.995,0.005
1.0,0.005
0.0,0.01
0.005,0.01
0.01,0.01
0.05,0.01
0.1,0.01
0.2,0.01
0.5,0.01
0.7,0.01
0.9,0.01
0.95,0.01
0.99,0.01
0.995,0.01
1.0,0.01
0.0,0.05
0.005,0.05
0.01,0.05
0.05,0.05
0.1,0.05
0.2,0.05
0.5,0.05
0.7,0.05
0.9,0.05
0.95,0.05
0.99,0.05
0.995,0.05
1.0,0.05
0.0,0.1
0.005,0.1
0.01,0.1
0.05,0.1
0.1,0.1
0.2,0.1
0.5,0.1
0.7,0.1
0.9,0.1
0.95,0.1
0.99,0.1
0.995,0.1
1.0,0.1
0.0,0.5
0.005,0.5
0.01,0.5
0.05,0.5
0.1,0.5
0.2,0.5
0.5,0.5
0.7,0.5
0.9,0.5
0.95,0.5
0.99,0.5
0.995,0.5
1.0,0.5
0.0,1.0
0.005,1.0
0.01,1.0
0.05,1.0
0.1,1.0
0.2,1.0
0.5,1.0
0.7,1.0
0.9,1.0
0.95,1.0
0.99,1.0
0.995,1.0
1.0,1.0
0.0,1.5
0.005,1.5
0.01,1.5
0.05,1.5
0.1,1.5
0.2,1.5
0.5,1.5
0.7,1.5
0.9,1.5
0.95,1.5
0.99,1.5
0.995,1.5
1.0,1.5
0.0,2.0
0.005,2.0
0.01,2.0
0.05,2.0
0.1,2.0
0.2,2.0
0.5,2.0
0.7,2.0
0.9,2.0
0.95,2.0
0.99,2.0
0.995,2.0
1.0,2.0
