x,t,u1,u2
0,0,1.0017521,-0.004631203
0.005,0,1.0016233,-0.002970878
0.01,0,1.0016239,-0.001320887
0.05,0,1.0072234,0.011412989
0.1,0,1.0327793,0.025654092
0.2,0,1.1649249,0.0450587
0.5,0,1.2963479,0.0266014
0.7,0,1.0112299,0.003621396
0.9,0,0.97644424,-0.000494748
0.95,0,0.99774945,9.04E-05
0.99,0,1.0199294,0.000818644
0.995,0,1.0229647,0.000924204
1,0,1.0260521,0.001032803
0,0.005,0.995377,-0.003549159
0.005,0.005,0.9951279,-0.001867987
0.01,0.005,0.99500287,-0.000196572
0.05,0.005,0.99938595,0.01272738
0.1,0.005,1.0228549,0.02725719
0.2,0.005,1.149952,0.047379028
0.5,0.005,1.2905409,0.030374885
0.7,0.005,1.005887,0.007793006
0.9,0.005,0.9692232,0.00386256
0.95,0.005,0.99029505,0.004449856
0.99,0.005,1.0123628,0.005164005
0.995,0.005,1.0153884,0.005266748
1,0.005,1.0184672,0.005372446
0,0.01,0.9890989,-0.002492305
0.005,0.01,0.98873556,-0.000790637
0.01,0.01,0.9884911,0.0009018
0.05,0.01,0.9917122,0.014012888
0.1,0.01,1.0131669,0.02882733
0.2,0.01,1.1352489,0.049662024
0.5,0.01,1.2847291,0.034126244
0.7,0.01,1.0007191,0.01195081
0.9,0.01,0.9621446,0.008225687
0.95,0.01,0.98296607,0.008820653
0.99,0.01,1.0049077,0.009524938
0.995,0.01,1.007922,0.009625424
1,0.01,1.0109904,0.009728629
0,0.05,0.94190395,0.005138382
0.005,0.05,0.94081545,0.006993678
0.01,0.05,0.9398102,0.008843426
0.05,0.05,0.93551373,0.023354212
0.1,0.05,0.9434263,0.040303923
0.2,0.05,1.027816,0.06663619
0.5,0.05,1.2372394,0.06334923
0.7,0.05,0.96577096,0.044610977
0.9,0.05,0.91132975,0.043174602
0.95,0.05,0.92957944,0.044028122
0.99,0.05,0.9500285,0.044810764
0.995,0.05,0.95289093,0.04491268
1,0.05,0.95581484,0.045015335
0,0.1,0.8892102,0.012985274
0.005,0.1,0.88757724,0.015012905
0.01,0.1,0.8859982,0.017038766
0.05,0.1,0.87586564,0.033107065
0.1,0.1,0.87252307,0.052418172
0.2,0.1,0.9192401,0.08499735
0.5,0.1,1.1719985,0.09806235
0.7,0.1,0.9375299,0.083590135
0.9,0.1,0.865284,0.08623813
0.95,0.1,0.8792896,0.08787979
0.99,0.1,0.89686716,0.08915076
0.995,0.1,0.8994061,0.08930373
1,0.1,0.90201473,0.089455105
0,0.5,0.8554293,0.059330553
0.005,0.5,0.85312855,0.062448032
0.01,0.5,0.8508362,0.06557766
0.05,0.5,0.8329271,0.090991125
0.1,0.5,0.81224096,0.12337105
0.2,0.5,0.7807744,0.18759649
0.5,0.5,0.7910247,0.32105067
0.7,0.5,0.8265143,0.3381259
0.9,0.5,0.9251321,0.35513312
0.95,0.5,0.96274996,0.36292887
0.99,0.5,0.9947276,0.36977962
0.995,0.5,0.9987973,0.37066168
1,0.5,1.0028777,0.37154806
0,1,0.7300843,0.08134636
0.005,1,0.7280104,0.085041896
0.01,1,0.7259585,0.08874567
0.05,1,0.7104639,0.1186109
0.1,1,0.69400907,0.1562412
0.2,1,0.6747252,0.23052038
0.5,1,0.7515925,0.4113522
0.7,1,0.8171917,0.468742
0.9,1,0.8095889,0.486844
0.95,1,0.81354797,0.4917592
0.99,1,0.82196283,0.49675378
0.995,1,0.82336366,0.49744993
1,1,0.8248421,0.4981621
0,1.5,0.55647194,0.10555899
0.005,1.5,0.5549789,0.109248474
0.01,1.5,0.553517,0.11294007
0.05,1.5,0.54305404,0.14250505
0.1,1.5,0.53359956,0.17933334
0.2,1.5,0.53012466,0.25126526
0.5,1.5,0.6773982,0.4346325
0.7,1.5,0.8601993,0.5141083
0.9,1.5,0.9502636,0.5500176
0.95,1.5,0.94774413,0.5537912
0.99,1.5,0.9410223,0.55621547
0.995,1.5,0.9399945,0.55650437
1,1.5,0.938938,0.5567929
0,2,0.45370737,0.13042557
0.005,2,0.45256704,0.13388196
0.01,2,0.45146015,0.13733736
0.05,2,0.4439028,0.16491355
0.1,2,0.43811336,0.19907425
0.2,2,0.44124332,0.26552948
0.5,2,0.5992104,0.43938315
0.7,2,0.819803,0.5259651
0.9,2,1.0303861,0.58095485
0.95,2,1.0624245,0.58921677
0.99,2,1.0793512,0.59435886
0.995,2,1.0809058,0.5949171
1,2,1.0823362,0.59545755
